imageName X Y Z Omega Phi Kappa
Elettra-Carroponte2024-4014_pt.jpg -0.337522 -50.541351 5.663060 -0.855725 1.756677 118.129553
Elettra-Carroponte2024-4015_pt.jpg -0.141391 -50.948595 5.660881 -0.748095 1.805380 118.641379
Elettra-Carroponte2024-4016_pt.jpg 0.060050 -51.349071 5.660344 -0.763476 1.821515 119.151382
Elettra-Carroponte2024-4017_pt.jpg 0.263550 -51.748476 5.660675 -0.770465 1.794195 119.684270
Elettra-Carroponte2024-4018_pt.jpg 0.474235 -52.152771 5.660400 -0.752233 1.848857 120.191010
Elettra-Carroponte2024-4019_pt.jpg 0.688154 -52.557552 5.661089 -0.838766 1.784868 120.722963
Elettra-Carroponte2024-4020_pt.jpg 0.903714 -52.958661 5.661870 -0.865410 1.751634 121.247763
Elettra-Carroponte2024-4021_pt.jpg 1.127357 -53.358267 5.664569 -0.985646 1.669068 121.782798
Elettra-Carroponte2024-4022_pt.jpg 1.354167 -53.754318 5.667487 -0.955162 1.758660 122.277752
Elettra-Carroponte2024-4023_pt.jpg 1.587468 -54.149268 5.670371 -1.076891 1.722352 122.805428
Elettra-Carroponte2024-4024_pt.jpg 1.818659 -54.541333 5.673781 -1.173759 1.654329 123.326444
Elettra-Carroponte2024-4025_pt.jpg 2.051457 -54.929139 5.678256 -1.221273 1.649547 123.837334
Elettra-Carroponte2024-4026_pt.jpg 2.288884 -55.317538 5.682691 -1.226209 1.618334 124.386852
Elettra-Carroponte2024-4027_pt.jpg 2.526641 -55.699300 5.687575 -1.357990 1.518289 124.911402
Elettra-Carroponte2024-4028_pt.jpg 2.770717 -56.083811 5.690346 -1.317828 1.539508 125.431770
Elettra-Carroponte2024-4029_pt.jpg 3.019169 -56.470194 5.689279 -1.302320 1.483377 125.959141
Elettra-Carroponte2024-4030_pt.jpg 3.282863 -56.844418 5.682908 -1.336764 1.565718 126.514501
Elettra-Carroponte2024-4031_pt.jpg 3.533969 -57.224641 5.677823 -1.195685 1.571866 127.078243
Elettra-Carroponte2024-4032_pt.jpg 3.792127 -57.597266 5.677846 -1.206310 1.573097 127.555810
Elettra-Carroponte2024-4033_pt.jpg 4.053340 -57.964820 5.674729 -1.083047 1.617242 128.111639
Elettra-Carroponte2024-4034_pt.jpg 4.315092 -58.326998 5.672117 -1.086785 1.616668 128.625149
Elettra-Carroponte2024-4035_pt.jpg 4.581446 -58.687658 5.671223 -1.037476 1.669219 129.134039
Elettra-Carroponte2024-4036_pt.jpg 4.849477 -59.045990 5.670100 -0.965026 1.742087 129.645552
Elettra-Carroponte2024-4037_pt.jpg 5.122239 -59.403971 5.669740 -1.012668 1.695011 130.175368
Elettra-Carroponte2024-4038_pt.jpg 5.402565 -59.764470 5.670036 -1.038166 1.678290 130.703582
Elettra-Carroponte2024-4039_pt.jpg 5.686105 -60.122817 5.671091 -1.117456 1.600863 131.220371
Elettra-Carroponte2024-4040_pt.jpg 5.968068 -60.472528 5.672861 -1.156157 1.586846 131.720603
